method,level_name,number_of_images,mean_compressed_size_bytes,std_compressed_size_bytes,mean_compression_ratio_file,std_compression_ratio_file,mean_compression_ratio_raw,std_compression_ratio_raw,mean_mse,std_mse,mean_psnr,std_psnr,mean_ssim,std_ssim,mean_encoding_time_ms,mean_decoding_time_ms
jpeg,high_compression_q30,24,29987.791666666668,10193.878162808716,22.702308918717776,4.44347791763689,43.32738638052688,12.729814157124412,65.00136852264404,34.034654860391086,30.491472872108307,2.0473715867644087,0.8651068280628551,0.024081001929357984,2.122070834351083,8.02633749844972
jpeg,low_compression_q90,24,113805.79166666667,30084.818060565343,5.805512794808841,0.7461120795257715,11.024650344116075,2.6796655770797275,10.788934495713976,3.684868623988695,38.033973341635495,1.4410303625716872,0.9633531745743404,0.007916455336552271,3.485454163940934,8.413566664482156
jpeg,medium_compression_q60,24,49393.375,15821.182819555008,13.668680722357992,2.444773862543495,26.068379825004556,7.3887749625878785,36.97734797442401,18.46358610376589,32.90757794140709,1.988056527689935,0.9117320140241985,0.01526206862993384,2.3968208309573433,7.905333346570842
jpeg2000,high_compression_cr20,24,19692.625,17752.233693654736,59.647063512224356,38.89036575719755,119.47248672512414,86.59364174645295,67.45793861813016,1.5074898386303632,29.841499301531314,0.09615276902770438,0.8205981926611696,0.04534781345704827,48.164812513277866,8.342862497859945
jpeg2000,low_compression_cr5,24,289245.7083333333,53783.63504658526,2.234364410770581,0.12969167140181476,4.209822278317418,0.7508409885836014,0.5109278007789895,0.028379691304493106,51.053962481374896,0.2507504870739387,0.9964968102073861,0.0013166650565195257,48.338695831868485,36.79552500640663
jpeg2000,medium_compression_cr10,24,274439.2083333333,53609.53683488006,2.359828059606854,0.1552193611482635,4.451093044495873,0.8312591394974953,0.5677898901480215,0.03137971114086616,50.595589254423004,0.24881103445381916,0.9961933137310203,0.0014592608643433035,48.868966657513134,35.69641668097271
